vacinados,dia
806.0,2021-01-20
2031.9999999999998,2021-01-21
3055.0,2021-01-22
4594.0,2021-01-23
7558.0,2021-01-24
11199.0,2021-01-25
15845.0,2021-01-26
21699.0,2021-01-27
25362.0,2021-01-28
25984.0,2021-01-29
28634.0,2021-01-30
32519.000000000004,2021-01-31
36374.00000000001,2021-02-01
40120.00000000001,2021-02-02
43806.000000000015,2021-02-03
44958.00000000002,2021-02-04
46508.00000000003,2021-02-05
46900.00000000003,2021-02-06
48525.00000000003,2021-02-07
50465.00000000004,2021-02-08
54687.000000000044,2021-02-09
56177.000000000044,2021-02-10
59629.000000000044,2021-02-11
64346.000000000044,2021-02-12
70385.00000000006,2021-02-13
75610.00000000006,2021-02-14
79929.00000000006,2021-02-15
82360.00000000007,2021-02-16
84877.00000000007,2021-02-17
87344.00000000009,2021-02-18
89962.0000000001,2021-02-19
93069.00000000012,2021-02-20
95657.00000000013,2021-02-21
100201.00000000013,2021-02-22
104712.00000000015,2021-02-23
110352.00000000016,2021-02-24
115087.00000000017,2021-02-25
117787.00000000019,2021-02-26
122323.0000000002,2021-02-27
128359.00000000022,2021-02-28
133503.00000000023,2021-03-01
138267.00000000026,2021-03-02
144107.00000000026,2021-03-03
144117.00000000026,2021-03-04
151076.00000000026,2021-03-05
157734.0000000003,2021-03-06
162465.0000000003,2021-03-07
167024.00000000032,2021-03-08
171289.00000000035,2021-03-09
176000.00000000035,2021-03-10
180653.00000000035,2021-03-11
190649.00000000038,2021-03-12
204254.00000000044,2021-03-13
216403.00000000047,2021-03-14
228039.0000000005,2021-03-15
239066.00000000052,2021-03-16
247609.70693724058,2021-03-17
255667.34231668097,2021-03-18
264510.84430326795,2021-03-19
274239.32916141354,2021-03-20
285477.74544613605,2021-03-21
294625.713150255,2021-03-22
304762.4875519018,2021-03-23
317193.231488868,2021-03-24
330131.4729125482,2021-03-25
344662.00619439053,2021-03-26
355481.90944742516,2021-03-27
367140.56317789946,2021-03-28
381364.92976742034,2021-03-29
396558.24696933944,2021-03-30
413810.9111132543,2021-03-31
426764.10047628236,2021-04-01
440830.0639508297,2021-04-02
458063.9606080426,2021-04-03
476405.5811955656,2021-04-04
497198.0326869567,2021-04-05
512742.8342205231,2021-04-06
529599.7056763913,2021-04-07
550249.008870013,2021-04-08
572255.820476883,2021-04-09
597217.509215176,2021-04-10
